,job_title,job_company,job_url,job_location,job_seniority_level,job_emp_type,job_function,job_industry,job_text,job_posted_age,job_role_input,job_role_location,run_date
0,Junior Health Analytics Data Scientist,UCLA Health,https://www.linkedin.com/jobs/view/junior-health-analytics-data-scientist-at-ucla-health-3536676183?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=R83JP7MvlcTp0uVXvdJa%2BQ%3D%3D&trk=public_jobs_topcard-title,"Los Angeles, CA",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care,"
DescriptionAs our JuniorHealth Analytics Data Scientist, you will work with a multidisciplinary team offaculty members and data scientists to extract meaningful and actionableinsights from a variety of healthcare data, including but not limited toclinical, imaging, claims, and other biomedical and patient-relatedinformation. In this role, you will be integrating datafrom multiple sources with the goal ofunderstanding the current operations of UCLA, a complex health system,including working in conjunction with a Senior Data Scientist, health servicesresearchers, and faculty to identifying areas where operational improvementscan be made. You will directly contribute to delivering more efficient, morepersonalized care to the 600,000 unique patients seen by the UCLA Health Systemeach year and will conduct data aggregation, data wrangling, implementation ofclinical data preprocessing pipelines, database management, implementation ofmachine learning techniques, validation and updating of these models to ensureoptimal performance, exploration of clinical decision-making tools, andimplementation of a software platform to automate these tasks. You will also be involved in research projectscollaborating with scientists towards the publication of research papers andproposals. The JuniorHealth Analytics Data Scientist is expected to be fluent across multipleprogramming languages, as well as to have software engineering skills thatextend in maintaining and developing web applications that serve data scienceprojects. *May become Career Salary range: $73900.00-$170700.00 Annual
      ",2 days ago,Data Analyst,California,2023-03-25 03:31:16.181419
1,Junior Health Analytics Data Scientist,UCLA Health,https://www.linkedin.com/jobs/view/junior-health-analytics-data-scientist-at-ucla-health-3536676183?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=R83JP7MvlcTp0uVXvdJa%2BQ%3D%3D&trk=public_jobs_topcard-title,"Los Angeles, CA",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care,"
DescriptionAs our JuniorHealth Analytics Data Scientist, you will work with a multidisciplinary team offaculty members and data scientists to extract meaningful and actionableinsights from a variety of healthcare data, including but not limited toclinical, imaging, claims, and other biomedical and patient-relatedinformation. In this role, you will be integrating datafrom multiple sources with the goal ofunderstanding the current operations of UCLA, a complex health system,including working in conjunction with a Senior Data Scientist, health servicesresearchers, and faculty to identifying areas where operational improvementscan be made. You will directly contribute to delivering more efficient, morepersonalized care to the 600,000 unique patients seen by the UCLA Health Systemeach year and will conduct data aggregation, data wrangling, implementation ofclinical data preprocessing pipelines, database management, implementation ofmachine learning techniques, validation and updating of these models to ensureoptimal performance, exploration of clinical decision-making tools, andimplementation of a software platform to automate these tasks. You will also be involved in research projectscollaborating with scientists towards the publication of research papers andproposals. The JuniorHealth Analytics Data Scientist is expected to be fluent across multipleprogramming languages, as well as to have software engineering skills thatextend in maintaining and developing web applications that serve data scienceprojects. *May become Career Salary range: $73900.00-$170700.00 Annual
      ",2 days ago,Data Analyst,California,2023-03-25 03:31:24.121776
2,Business Intelligence Analyst,"Mercedes-Benz Research & Development North America, Inc.",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-mercedes-benz-research-development-north-america-inc-3536509408?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=0lrd%2FjCAtXASTyxId3TMog%3D%3D&trk=public_jobs_topcard-title,"Long Beach, CA",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Motor Vehicle Manufacturing,"
        Embedded in a worldwide network Mercedes-Benz Research & Development North America continuously strives to remain at the forefront of successful automotive research and development. MBRDNA is headquartered in Silicon Valley, California, with key areas of Autonomous Driving, Advanced Interaction Design, Digital User Experience, Machine Learning, Customer Research, and Open Innovation. In Farmington Hills, Michigan, the focus is on Powertrain and eDrive technology as well as in Long Beach, where the teams test durability of the latest driver assistant and telematic systems. The Digital Hub in Seattle focusses on developing a cloud architecture and building out the cloud platform for the next generation of connected car services. The Testing and Regulatory Affairs Division in Ann Arbor and the Advanced Vehicle Design in Carlsbad complete the competence center.Mercedes-Benz Research & Development North America, Inc. (MBRDNA) is seeking a Business Intelligence Analyst to join the US Experience team. This is a full-time, exempt position at the MBRDNA In our regional office in Long Beach, CA.The US Experience team drives to establish Mercedes Benz as a technology leader in the US luxury segment by translating the combined (one) US voice of the customer in impactful propositions that enhance the customer experience and create market pull. Our goal is to deliver research and broad knowledge that can influence and drive innovation in the US market In terms of improved features and different touch points throughout the customer journey.The Business Intelligence Analyst is responsible for supporting the US Experience team understand, connect and analyze different data sources and derive patterns, use cases and trends. This role will be able to work with the technical teams in creating data driven solutions that will support the US Experience team proposing the relevant features that will result into improved customer experience, accelerating Mercedes-Benz technology in the US.Job ResponsibilitiesThe Business Intelligence Analyst is responsible for providing a data view of the performance Mercedes Benz technology adoption and usage in the market in the areas of ADAS, Telematics, MercedesMe app and Charging. It includes:1. Effective gathering, compilation and analysis of data from multiple sources. Build swim lanes to make sure an accurate and real time data is available.2. Establish and facilitate data rounds meetings with subject matter experts, bringing multiple perspectives of testing, quality, development, marketing and sales, creating a joint view and conclusion to specific topics.3. Structure data sets to find usable information.4. Create and manage a repository of relevant data for the US Experience team.5. Build dashboards and formulate KPI's that best represent customer experience.6. Work with teams worldwide to accommodate data sources to fine-tuning use cases and hypothesis.7. Collaborate with the US team to process Information and derive conclusions from data analysis.8. Define and recommend Initiatives, features and projects that will address the Identified opportunities.9. Propose process Improvements relate to data compilation, gathering, publication and sharing.10. Prepare final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends.Minimum QualificationsBachelor degree in Finance, Business, or related field of studyMinimum 5 years of business analytics or related experienceStrong mathematical skills to help collect, measure, organize and analyze dataProven capability to think systemically, analytically and structurallyAbility to integrate data/findings from other research to provide a holistic perspectiveUnderstanding of automotive, tech, and luxury sectorsUnderstanding of the US market with deep understanding of cultural and social aspectsFrequent use of speech, vision, hearing, use of hands for computer use and presentationsFrequent sitting, standing and reaching with handsPreferred QualificationsProven track record of identifying a pattern and working with the technical teams in proposing a solutionSharp, incisive thinking will help create outcomes that are clear, focused, and specificSelf-motivated, striving for personal and team successCan work independently and juggle multiple projects simultaneouslyStrong people skills and ability to influence strategy and decision-makingStrong presentation skills and can engage audiences in various levels in the organizationThe successful candidate’s starting pay will be determined based on a wide range of factors, including, but not limited to, job-related education, skills, and experience, geographic location, and market conditions. The current salary range for this position is as follows and may be modified in the future: $90,100-$112,700.Why should you apply?Here at MBRDNA, you create digital ecosystems around cars, you design a language between humans and machines, you make a car even more intelligent - you make the new reality for cars. We have an open and flexible environment to allow you to push boundaries, join MBRDNA and design your future.Benefits for Full-Time* Employees Include: Medical, dental, and vision insurance for employees and their families 401(k) with employer match Up to 18 company-paid holidays Paid time off (unlimited for salaried employees), sick time, and parental leave Tuition assistance program Wellness/Fitness reimbursement programs Vehicle lease subsidy or company car (for eligible employees only) Internships excluded from Full-Time Employee benefitsMBRDNA is an equal opportunity employer (EOE) and strongly supports diversity in the workforce. MBRDNA only accepts resumes from approved agencies who have a valid Agency Agreement on file. Please do not forward resumes to our applicant tracking system, MBRDNA employees, or send to any MBRDNA location. MBRDNA is not responsible for any fees or claims related to receipt of unsolicited resumes.Mercedes-Benz Research and Development North America, Inc.PRIVACY NOTICE FOR CALIFORNIA RESIDENTShttps://mbrdna.com/california-employee-privacy-notice/
      ",4 days ago,Data Analyst,California,2023-03-25 03:31:35.113123
3,Data Analyst - Junior Level (Remote),HireMatch,https://www.linkedin.com/jobs/view/data-analyst-junior-level-remote-at-hirematch-3536760113?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=2kA8IVM%2BZ75rx%2BL3sd2Zfg%3D%3D&trk=public_jobs_topcard-title,"Los Angeles, CA",Entry level,Full-time,Engineering,Software Development,"
        The Data Analyst will be responsible for analyzing, specifying, validating, and documenting past, current and future trends, within a variety of areas in the Customer Care Professional Services areas. The Data Analyst will work with the Customer Care team to understand any data needed in order to work with the customer in the Account Management or New Business Life Cycle. The Data Analyst will also be involved in all steps of a project lifecycle, providing statistics for the specific areas and workstreams within Customer Care Professional Services Organization.When you join our team, you’ll receive many perks, such as:Paid holidays, vacation and sick timeRemote Work From HomeBring Your Own PC PolicyCell phone reimbursementCasual dressFunded training and certificationsHealth, dental & vision insurance401K matchRESPONSIBILITIES:Analyze, calculate and document/present recommendations for improvement in our Customer data in all areas including but not limited to:IVA dataContact Center StatisticsAI/Bot Data/StatisticsEnabling Excellence in Communication and TechnologyAnalyze, calculate and document/present recommendations for improvement in all for our Customer Care including but not limited to:Project MetricsSupport Agreement MetricsSupport Department MetricsResource MetricsParticipate in all areas of process improvement including but not limited to:o Identifying project metrics based on deliverablesReport, analyze and document project and support agreement trendingPresent future trending and projections for Customer CareThe Data Analyst must have experience in all aspects of Customer Care. Among these aspects would be:Analyzing data for IVAContact Center statistics such as Work Force ManagementStandard Contact Center statistics used for managing Contact Centers such asAverage Handle Time, Estimated Wait time etc.Work with Project Managers to identify, analyze, and report project statisticsWork with Support Managers to identify, analyze, report support agreement statisticsWork with the Director of Customer Care to identify, analyze, and report budgetary statisticsWork with Account Managers to gather, analyze, and report statistics neededWork with customers and Engineers to identify reporting needsWork with customers and ngineers to identify data sources to extract data to be used in reportsBuild processes to extract data so that reports can be generated based on said dataAbility to administer workshops with the Business and IT teamsCollaborate with Engineers, Project Managers and PSO ManagementDevelop a strong understanding of the products that our leverages in its product/services portfolio
",4 days ago,Data Analyst,California,2023-03-25 03:31:43.010106
4,Data Analyst,California Polytechnic State University-San Luis Obispo,https://www.linkedin.com/jobs/view/data-analyst-at-california-polytechnic-state-university-san-luis-obispo-3533301727?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=Jt33TIwmQ5q6knzwgIQTMA%3D%3D&trk=public_jobs_topcard-title,"San Luis Obispo County, CA",Entry level,Full-time,Information Technology,Higher Education,"
Job SummaryUnder the general direction of the Director of Data Systems, this individual is responsible for integrating data from across campus with the new CRM, Slate, and performing a variety of technical duties which require knowledge of methods and procedures in support of the campus' competitive recruitment and admission selection process. The position includes development of various electronic data collection tools, which includes the electronic web application that drives the automated selection and formal admission decisions for the campus.In addition to data analysis and process documentation (defining Key Performance Indicators), collaboration is key. This individual works closely with leadership of the CRM team to support the day-to-day technical and communication initiatives. This is a 2 year, fully benefited temporary role, with the possibility of extension. Department SummaryThe Admissions Office serves the University by recruiting, admitting and enrolling a highly qualified, diverse new student population. The Admissions Office’s primary function is to advise prospective students and the general public on admissions requirements, and to process all relevant materials to make an admission determination.Key Qualifications Serves as data lead for the Customer Relationship Management (CRM) system and how it integrates with different software and areas across campus.  Researches, resolves and responds to functional and technical issues identified by end-users regarding data within the CRM.  Analyzes, interprets and, in collaboration with ITS developers, implements Oracle bundles, CMS maintenance packs and campus requests which include updates, fixes and enhancements to meet federal, state, system wide and university goals for the CRM.  Ideates and creates different reports that are needed, in regards to data analysis and ad hoc reporting, in the CRM. Education And Experience Equivalent to graduation from a four-year college or university. Three years of technical or administrative experience. A graduate degree in a related field may be substituted for one year of the required experience. Additional qualifying experience may be substituted for the required education on a year-for-year basis Salary And BenefitsAnticipated Hiring Range: $64,000 - $80,000 annuallyClassification Range: $50,040 - $90,540 annuallyCal Poly offers a best-in-class benefits program, including health, dental and vision insurance, retirement participation in the Public Employees' Retirement System, and educational benefits for eligible employees. See our benefits website for additional information.Cal PolyCal Poly is a nationally-ranked public university located in San Luis Obispo, California, and known for its Learn by Doing philosophy. Each year more than 20,000 top-tier students come to San Luis Obispo to put knowledge into action, taking their learning outside the classroom as they prepare for careers in engineering, agriculture, science, business, humanities and the built environment. Cal Poly’s hands-on philosophy, small class sizes and close student-faculty mentorships result in graduates ready from day one to impact their communities, California and the world. For more information, visit calpoly.edu .Diversity StatementAt Cal Poly, we believe that cultivating an environment that embraces and promotes diversity is fundamental to the success of our students, our employees and our community. Bringing people together from different backgrounds, experiences and value systems fosters the innovative and creative thinking that exemplifies Cal Poly's values of free inquiry, cultural and intellectual diversity, mutual respect, civic engagement, and social and environmental responsibility.Cal Poly's commitment to diversity informs our efforts in recruitment, hiring and retention. Cal Poly is an equal opportunity employer.Supplemental InformationFollowing a conditional offer of employment, a background check (including a criminal records check) must be completed satisfactorily before any candidate may start work with Cal Poly. Failure to satisfactorily complete the background check may result in the withdrawal of the offer of employment. Current employees who are offered positions on campus will be required to undergo a background check for any position where a background check is required by law or that Cal Poly has designated as sensitive.The person holding this position is considered a 'mandated reporter' under the California Child Abuse and Neglect Reporting Act and is required to comply with the requirements set forth in CSU Executive Order 1083 as a condition of employment.Cal Poly, San Luis Obispo is not a sponsoring agency for staff positions (i.e. H-1B visas).Positions are posted for a minimum of 14 calendar days.
",2 days ago,Data Analyst,California,2023-03-25 03:31:48.858708
5,Entry Level Data Analyst,Flexon Technologies Inc.,https://www.linkedin.com/jobs/view/entry-level-data-analyst-at-flexon-technologies-inc-3536162871?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=3dJrr8AZqeDVYG%2B3HfJg5Q%3D%3D&trk=public_jobs_topcard-title,"Pleasanton, CA",Entry level,Full-time,Information Technology,IT Services and IT Consulting,"
        Responsibilities: Work hand-in-hand with the business side of an organization to help in process improvements. Working primarily on design and analysis in the areas of organization, planning cum information technology. Works as the middle man between the technical team and business team so as to assist in the development of requirements needed for the business. He/ She will be responsible for documenting customer requirements as outlined by the business users. The analyst's role also includes making sure that the designs meet the company's technical standards. Qualification and ExperienceEntry Level / Fresh Graduates / Engineers - BS / MS in Business/Data Analytics, Management Information systems, Computer Science ,Software engineering, IT, Industrial Engineering/Engineering management.Prior experience is a ""plus"" but not required.Candidates with strong communication/presentation skills, strong aptitude to learn and interest in Software programming, Testing or Business Analysis.Work Authorization: Must be authorized to work in the US
",4 days ago,Data Analyst,California,2023-03-25 03:31:58.639324
6,Full time / Operations Data Analyst (Remote),Easy Recruiter,https://www.linkedin.com/jobs/view/full-time-operations-data-analyst-remote-at-easy-recruiter-3540380586?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=ePCf9fjciiBr2%2FAEJAhKlw%3D%3D&trk=public_jobs_topcard-title,"San Jose, CA",Entry level,Full-time,Information Technology,Research Services,"
        We are seeking a detail-oriented and analytical Entry Level Operations Data Analyst to join our growing team. The ideal candidate is a self-starter who is passionate about data analysis and eager to learn and grow within the company. This is a remote position based in the USA, and the successful candidate will work closely with our Operations team to analyze data and provide insights to improve our business processes.ResponsibilitiesCollect, analyze, and interpret data from various sources to identify trends and patternsCreate and maintain dashboards and reports to track operational performanceWork with our Operations team to identify areas for improvement and develop solutionsAssist with data entry and data management tasks as neededCollaborate with cross-functional teams to support business initiativesStay up-to-date with the latest data analysis tools and techniquesContinuously evaluate and improve our data collection and analysis processesQualificationsBachelor's degree or equivalent experience in a related field, such as statistics, mathematics, or computer scienceStrong analytical and problem-solving skillsExperience with data analysis tools and techniques, such as Excel, SQL, and TableauFamiliarity with programming languages such as Python or RStrong attention to detail and accuracyAbility to work independently and as part of a teamPassion for data analysis and a desire to learn and grow in the fieldBenefitsCompetitive salary and benefits packageFlexible work scheduleOpportunity for growth and advancement within the companyCollaborative and supportive work environmentWork from the comfort of your own homeAccess to training and development opportunities to enhance your skillsIf you are a detail-oriented and analytical individual looking to take the first step in your career as an Operations Data Analyst, we encourage you to apply. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
      ",1 day ago,Data Analyst,California,2023-03-25 03:32:06.504948
7,Intern Data Analytics / Data Science - Summer 2023,Juniper Networks,https://www.linkedin.com/jobs/view/intern-data-analytics-data-science-summer-2023-at-juniper-networks-3533214167?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=MQWL1FU7CWbKYx1QFmA5lg%3D%3D&trk=public_jobs_topcard-title,"Sunnyvale, CA",Associate,Full-time,"Research, Analyst, and Information Technology","Computer Networking Products, Computer and Network Security, and Telecommunications","
        The Intern role will assist in creating and maintaining automation focused dashboards & metrics to validate business feasibility and value. We are also expanding towards the predictive analytics and so the ideal candidate thrives at delivering solutions to complex data problems, mathematical models has a passion for analytics, data and business processes.The ideal candidate must be a team player, creative, inquisitive, enjoy learning about new technologies and business models and have an excellent work ethic to their work. They should also possess excellent communication skills and be curious about how the business operates and how technology can change that.Responsibilities:Designing and Developing dashboards using TableauDeep understanding on how to extract, merge / join data from different sources.SQL knowledge is desiredAbility to apply structured problem solvingGood analytical and problem-solving skillsHands-on coding skills (preferably in Python) processing large-scale data set and developing machine learning predictive modelsShould have excellent oral and written communicationSnowflake and Alteryx is plus..Minimum Qualifications:Good knowledge of services operations managementExperience with forecasting modelsExperience with databasesPossesses strong written and verbal communication skillsDemonstrates strong analytical skillsDemonstrates ability to work both independently and in a team environmentAble to prioritize and organize work duties accordinglyIn addition, you will join our comprehensive University Talent Program that fosters personal as well as professional growth, thoroughly preparing interns for the next step in their careers. Juniper internships are project-based, allowing interns to solve important problems, make lasting impacts on their teams, and contribute to the company’s overall objectives. Interns are mentored by some of the most talented and skillful innovators in the industry; you will connect with transformative thought leaders who promote disruptive ideas in their field. You will also participate in constructive professional workshops, company-wide community service initiatives, and an executive speaker series. You’ll build lasting friendships, expand your network, and connect with colleagues from around the world.At Juniper Networks, you will not only have opportunities to build real-life, hands-on work experience – you’ll also have the chance to learn from the best and lay the groundwork for a successful career.Minimum Salary: $47,250.00Maximum Salary:$72,450.00The pay range for this position is expected to be between $47,250.00 and $72,450.00/year; however, the base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience. The total compensation package for this position also includes medical benefits, 401(k) eligibility, vacation, sick time, and parental leave. Additional details of participation in these benefit plans will be provided if an employee receives an offer of employment.If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors.Juniper’s pay range data is provided in accordance with local state pay transparency regulations. Juniper may post different minimum wage ranges for permanent residency petitions pursuant to US Department of Labor requirements.
",5 days ago,Data Analyst,California,2023-03-25 03:32:13.365629
8,Human Resources Data Analyst - Remote | WFH,Get It Recruit - Information Technology,https://www.linkedin.com/jobs/view/human-resources-data-analyst-remote-wfh-at-get-it-recruit-information-technology-3527900142?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=WoLdmHlVCnyiRmeY7BbkKA%3D%3D&trk=public_jobs_topcard-title,"Los Angeles, CA",Mid-Senior level,Full-time,Human Resources,Human Resources Services,"
        Get It Recruit - Information Technology helps job seekers connect with employers and opportunities that match their qualifications. Once connected job seekers can complete the full application process directly on the employer's website.We are looking for a highly motivated and detail-oriented Human Resources Data Analyst to join our team. As the Human Resources Data Analyst, you will play a key role in collecting, compiling, and analyzing HR data, metrics, and statistics. You will use your analytical skills to make recommendations that will help our HR program run more efficiently and effectively.In this fully remote position, you will work closely with multiple HR focus areas to prioritize and deliver on multiple in-flight projects. You will be responsible for reviewing and evaluating our Human Resources data, providing recommendations for enhancements to workflow and work processes, and effectively using our HRIS (UKG) system. You will also analyze data and statistics for trends and patterns with attention to current HR practices and compliance with employment laws and regulations.We are looking for someone who has a strong problem-solving ability, excellent communication skills, and is proficient in Microsoft Office, with advanced Excel skills including pivot tables, match, indirect, etc. The ideal candidate has a Bachelor's degree in Human Resources, Business Administration, Finance, or a related field.If you're someone who is excited about analyzing data, working remotely, and making a positive impact on our HR program, then we encourage you to apply for this position. We are an equal opportunity employer and welcome all qualified candidates to apply.Please note that Get It Recruit - Information Technology is sharing this job opening on behalf of the employer. Any questions related to the job description or application process should be directed to the employer. To learn more about the position and begin the application process, please use our 'apply' button.
",6 days ago,Data Analyst,California,2023-03-25 03:32:21.213827
9,Associate Analyst (Data Analytics),"Superior Court of California, County of Alameda",https://www.linkedin.com/jobs/view/associate-analyst-data-analytics-at-superior-court-of-california-county-of-alameda-3534586341?refId=lEfnRAvnsR7G%2F7emoVL0XQ%3D%3D&trackingId=ABjw%2B2AWCYiiTyBNsBmyVQ%3D%3D&trk=public_jobs_topcard-title,"Alameda, CA",Associate,Full-time,Other,Government Administration,"
        Salary Range$40.91 - $50.01Condition of EmploymentAll Superior Court of California, County of Alameda court personnel are required to be vaccinated against COVID-19 as a condition of employment. For details on how it is applicable to your employment, please click here .Job DescriptionThe Superior Court of California, County of Alameda is accepting applicationsto fill anAssociate Analystposition assigned to theData Analytics Unitwithin the Executive Office. Under general supervision, reporting to a Management Analyst or Principal Analyst classification, this position performs administrative, operational, financial, and analytical assignments in support of division or departmental operational activities. Provides technical support to professional staff and performs other related duties as assigned.The Data Analytics Unit is responsible for statistical reporting of filings, dispositions, and other court activity, both internally, for judicial officers and court leadership, and externally, to the Judicial Council, justice system partners, and the public and press. Data Analytics staff monitor developments with and the local implications of statewide judicial officer and court staff workload models, as well as with the Workload-Based Allocation and Funding Methodology (WAFM), which determines how funds are allocated to each court. The Data Analytics Unit also works to support the implementation of new case management systems, developing and validating reports, and provides data in support of Executive Office analytical needs, including semi-annual revenue projections.The current job vacancy is assigned to Data Analytics unitin Oakland, California.This is a journey level position that is fully competent to provide project and/or analytical work in a variety of Divisions or units as designated by management. Areas of responsibility may include project management, financial / accounting transactions, grants administration, research and statistical analysis, and other administrative assignments relating to the operations of the Division. This classification is distinguished from the Management Analyst in that that latter may have supervisory responsibilities and performs the more complex analytical work with greater impact due to size or scope or may have ongoing programmatic responsibilities in addition to the analytical responsibilities.Example of DutiesNote: The following are duties performed by employees in this classification; however, employees may perform other related duties at an equivalent level. Each individual in the classification does not necessarily perform all listed duties, or may perform portions of each section. The omission of a specific job duty does not exclude it from the position if the work is consistent with the concept of the classification or is similar or closely related to another stated job duty. Plans and organizes administrative or management studies or projects of moderate scope relating to the activities or operations of the assigned division or functional area. Assists in the development and implementation of division or departmental goals and objectives. Gathers data and participates in surveys to analyze systems or procedures; makes recommendations on methods or systems to improve efficiencies and delivery of services. Assists in developing and administering the annual budget, including gathering information and monitoring expenditures and revenue. Compiles and gathers data and prepares administrative or fiscal reports. This may include performing complex financial and statistical analysis, and preparation of budget estimates. Assists in the preparation of monthly statistical reports for judicial officers and court leadership. Compiles, cleans, analyzes, and formats data for statistical reports. Retrieves, cleans, and merges statistical and financial data. Assists with data quality assurance for filings, caseload, and workload data. Prepares financial policies and procedures, trains court staff regarding these policies and procedures. Identifies and resolves a variety of financial and statistical issues through analysis, and collaboration with internal and external partners. Presents viable recommendations for problem resolution. Reviews contracts, invoices, and other Court agreements and performs various financial analysis and reconciliations. Coordinates all activities associated with grants and contracts, including assisting with preparation and writing of grant applications, ensuring timely and accurate submission. Assists in the development of the financial tracking and reporting mechanisms to monitor expenditures for grant funded programs. Monitors and tracks grant administration, ensuring compliance with policies and procedures in accordance with state, federal and organizational guidelines. Identifies and resolves compliance issues. Serves as liaison with Court Program Managers and external funding agencies; assists in the development and communication of financial and programmatic recommendations to Court Program Managers. Performs other duties of a similar nature, as assigned.EducationMinimum QualificationsPossession of a Bachelor's degree from an accredited college.AndExperienceThe equivalent to two years of full-time professional experience in administrative, systems or operational analysis.Education SubstitutionAdditional qualifying work experience as described above may substitute for the required education on a year-for-year basis. One year (2080 hours) of additional qualifying work experience will be considered equivalent to 30 semester units/45 quarter units.Desired QualificationsExperience with Stata or other data management software such as SQL, R, or SPSS.Experience with data visualization software such as Power BI or Tableau.Highly organized and prepares accurate documents.Demonstrated ability to manage multiple projects and meet tight deadlines.Ability to identify, research and gather relevant information from a variety of sources.Strong analytical skills.Demonstrated ability to communicate effectively in both written and oral forms with all levels of management, and both internal and external customers.Facility with spreadsheets including knowledge of basic spreadsheet functions, sorting and filtering data, using pivot tables, and graphs.Knowledge of Principles, practices and methods of administrative and operational analysis. Work planning, project management, data collection and analytical techniques. Financial and statistical practices and procedures. Fundamental grants administration and compliance tracking.Ability to Independently conduct analytical studies; organize and prioritize work assignments and activities; exercise discretion and independent judgment in the performance of assignments Demonstrate excellent verbal, written communications and analytical skills; Synthesize data and compile results in a clear and concise manner. Prioritize tasks and manage competing priorities; Develop and maintain professional relationships with colleagues, internal clients, the public, and external agencies; Develop budgets, track expenditures and critical reporting requirements or timelines. Demonstrate strong problem solving skills and develop effective resolutions. Prepare clear and concise reports and other written material. Work collaboratively in team environment. Utilize a computer and relevant software applications and other equipment as required.This position includes a one-year probationary period. Employment is contingent upon successful completion of fingerprint check and the provision of appropriately identifying documents to certify eligibility to work in the United States.Hiring ProcessThe Hiring Process Will Include The Following Components An initial screening of all application materials receivedincluding a completed application and supplemental questionnaire. A resume does not substitute for completing the application. An incomplete or partial application or supplemental questionnaire will result in disqualification.  A review of the completed application and supplemental questionnaire to select the best-qualified candidates for the oral panel interview process.  An oral interview that will be weighted as 100% of the candidate's final score. The oral interview may contain situational exercises. The Court reserves the right to change the components of the examination process and may limit the number of candidates invited to the oral interview process to include only the best-qualified candidates should there be a large applicant pool.The application and supplemental questionnaire are used to evaluate the candidate's qualifications. If you are interested in the opportunity, it is recommended that you submit your application and supplemental questionnaire as soon as possible since this recruitment may be closed at any time should the Court receive a sufficient number of qualified applicants.If you require accommodation in the examination process because of disability, please call (510) 891-6021 to discuss.Job Posting End DateApril 11, 2023
      ",2 days ago,Data Analyst,California,2023-03-25 03:32:31.071889
